Chair,9.328261,0.867,9.26848,270,90,0
Locker,21.12285,1.683559,-14.74953,270,180.05,0
Desk,23.52512,1.012343,6.198268,270,0.5946229,0
Chair,19.91826,0.867,-3.42152,270,90,0
Desk,10.83826,1.012343,1.80848,270,180,0
Chair,-2.531037,0.867,7.591758,270,79.65788,0
Chair,9.328261,0.867,4.92848,270,90,0
Chair,2.784762,0.867,6.539746,270,260.2525,0
Cabinet,32.34761,1.727685,-14.16485,270,90,0
Chair,9.328261,0.867,-3.42152,270,90,0
Chair,14.49931,0.867,11.41231,270,270.5946,0
Chair,25.04687,0.867,7.322533,270,270.5946,0
Desk,0.2936896,1.012343,0.5240412,270,169.6579,0
Locker,21.05917,1.683559,-10.92305,270.178,206.0219,154.0282
Desk,2.210814,1.012343,0.9620464,270,350.2525,0
Locker,23.69893,1.683558,-9.278996,270,180.05,0
Locker,21.73648,1.683558,-9.290573,270,90,0
Chair,31.72,0.867,-0.09,270,90,0
Chair,9.328261,0.867,0.6684799,270,90,0
Chair,19.91826,0.867,9.26848,270,90,0
Locker,21.11707,1.683559,-11.45563,270,180.05,0
Desk,33.23,1.012343,-5.48,270,180,0
Desk,12.93512,1.012343,6.198268,270,0.5946229,0
Locker,20.38766,1.683559,-12.15609,270.178,206.0219,154.0282
Locker,23.69894,1.683559,-10.61045,270,180.05,0
Chair,14.41266,0.867,3.062765,270,270.5946,0
Chair,4.636974,0.867,-4.242328,270,260.2525,0
Chair,-1.751897,0.867,3.322268,270,79.65788,0
Chair,4.240797,0.867,-1.936106,270,260.2525,0
Locker,21.12285,1.683558,-9.383196,270,0,0
Desk,1.027948,1.012343,-3.499513,270,169.6579,0
Chair,9.328261,0.867,7.19848,270,90,0
Desk,12.84639,1.012343,-2.351271,270,0.5946229,0
Desk,10.83826,1.012343,6.06848,270,180,0
Chair,9.328261,0.867,2.77848,270,90,0
Locker,21.12285,1.683559,-14.07801,270,180.05,0
Chair,14.36762,0.867,-1.277002,270,270.5946,0
Chair,31.72,0.867,-6.62,270,90,0
Chair,9.328261,0.867,-1.15152,270,90,0
Chair,31.72,0.867,4.32,270,90,0
Locker,20.38767,1.683559,-13.6149,270.178,206.0219,154.0282
Chair,24.9791,0.867,0.7928869,270,270.5946,0
Desk,21.42826,1.012343,1.80848,270,180,0
Locker,20.38766,1.683559,-11.41511,270.178,206.0219,154.0282
Desk,21.42826,1.012343,6.06848,270,180,0
Chair,-0.6603833,0.867,-2.658953,270,79.65788,0
Chair,-1.365918,0.867,1.207199,270,79.65788,0
Whiteboard,-1.675672,3.070002,-16.41003,0.0260486,278.7291,0.03035337
Chair,14.34333,0.867,-3.616877,270,270.5946,0
Locker,20.38767,1.683559,-14.30957,270.178,206.0219,154.0282
Chair,31.72,0.867,-2.36,270,90,0
Chair,14.43497,0.867,5.212648,270,270.5946,0
Desk,21.42826,1.012343,-2.281521,270,180,0
Chair,-2.15942,0.867,5.555388,270,79.65788,0
Chair,3.890333,0.867,0.1040111,270,260.2525,0
Chair,24.95762,0.867,-1.277002,270,270.5946,0
Desk,33.23,1.012343,3.07,270,180,0
Desk,1.489569,1.012343,5.160551,270,350.2525,0
Chair,19.91826,0.867,2.77848,270,90,0
Cabinet,27.7454,1.727685,-14.21695,270,90,0
Desk,10.83826,1.012343,-2.281521,270,180,0
Desk,-0.4710879,1.012343,4.71483,270,169.6579,0
Desk,-1.241251,1.012343,8.935133,270,169.6579,0
Chair,19.91826,0.867,11.60848,270,90,0
Desk,33.23,1.012343,-1.22,270,180,0
Desk,2.937139,1.012343,-3.266026,270,350.2525,0
Locker,20.38766,1.683559,-12.92023,270.178,206.0219,154.0282
Desk,23.48091,1.012343,1.938497,270,0.5946229,0
Locker,24.87409,1.683559,-14.46008,270,90,0
3DTV,12.73467,1.810002,-15.4963,270,180,0
Chair,2.476624,0.867,8.333471,270,260.2525,0
Desk,23.43639,1.012343,-2.351271,270,0.5946229,0
Locker,21.11706,1.683559,-12.75235,270,180.05,0
Locker,21.05917,1.683558,-10.17049,270.178,206.0219,154.0282
Chair,-0.9871194,0.867,-0.8685207,270,79.65788,0
Desk,0.7971061,1.012343,9.191503,270,350.2525,0
Chair,14.45687,0.867,7.322533,270,270.5946,0
Chair,-0.2528612,0.867,-4.892072,270,79.65788,0
Chair,9.328261,0.867,11.60848,270,90,0
Chair,-2.951126,0.867,9.893742,270,79.65788,0
Desk,12.97756,1.012343,10.28804,270,0.5946229,0
Chair,14.47576,0.867,9.142437,270,270.5946,0
Chair,14.3891,0.867,0.7928869,270,270.5946,0
Locker,22.27485,1.683558,-9.296362,270,90,0
Chair,31.72,0.867,-4.51,270,90,0
Desk,21.42826,1.012343,10.35848,270,180,0
Chair,3.506007,0.867,2.341242,270,260.2525,0
Desk,23.56756,1.012343,10.28804,270,0.5946229,0
Desk,10.83826,1.012343,10.35848,270,180,0
Locker,23.69894,1.683558,-9.95051,270,180.05,0
Locker,22.93479,1.683558,-9.290573,270,90,0
Chair,25.00266,0.867,3.062765,270,270.5946,0
Chair,19.91826,0.867,-1.15152,270,90,0
Locker,20.38768,1.683559,-14.99266,270.178,206.0219,154.0282
Locker,21.11706,1.683559,-12.10399,270,180.05,0
Chair,24.93333,0.867,-3.616877,270,270.5946,0
Chair,25.02497,0.867,5.212648,270,270.5946,0
Locker,21.12285,1.683559,-13.42386,270,180.05,0
Chair,31.72,0.867,1.98,270,90,0
Chair,19.91826,0.867,4.92848,270,90,0
Chair,2.0923,0.867,10.5707,270,260.2525,0
Chair,25.08931,0.867,11.41231,270,270.5946,0
Chair,19.91826,0.867,7.19848,270,90,0
Chair,3.141999,0.867,4.460205,270,260.2525,0
Chair,25.06576,0.867,9.142437,270,270.5946,0
Desk,12.89091,1.012343,1.938497,270,0.5946229,0
Chair,19.91826,0.867,0.6684799,270,90,0
Desk,-8.220757,1.012343,-13.3196,270,4.037738,0
Chair,-5.488745,0.8668031,-12.94061,270,273.4983,0
Chair,-5.199292,0.8665994,-15.50955,270,285.6085,0
Chair,-9.675879,0.867,1.28,270,90,0
